Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS21_B07003001,ACS21_B07003002,ACS21_B07003003,ACS21_B07003004,ACS21_B07003005,ACS21_B07003006,ACS21_B07003007,ACS21_B07003008,ACS21_B07003009,ACS21_B07003010,ACS21_B07003011,ACS21_B07003012,ACS21_B07003013,ACS21_B07003014,ACS21_B07003015,ACS21_B07003016,ACS21_B07003017,ACS21_B07003018,ACS21_B07003001s,ACS21_B07003002s,ACS21_B07003003s,ACS21_B07003004s,ACS21_B07003005s,ACS21_B07003006s,ACS21_B07003007s,ACS21_B07003008s,ACS21_B07003009s,ACS21_B07003010s,ACS21_B07003011s,ACS21_B07003012s,ACS21_B07003013s,ACS21_B07003014s,ACS21_B07003015s,ACS21_B07003016s,ACS21_B07003017s,ACS21_B07003018s
"01003","Baldwin County, Alabama","ACSSF","al","050","00","0000013",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,,237039,114278,122761,207002,99968,107034,14087,5568,8519,3728,2172,1556,11637,6347,5290,585,223,362,514.5455,949.697,900,3498.788,1592.121,2574.545,2796.97,1165.455,2029.697,990.303,680.6061,635.7576,2176.97,1538.788,1182.424,288.4849,129.697,216.9697
"01015","Calhoun County, Alabama","ACSSF","al","050","00","0000014",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,,115014,55200,59814,100961,49125,51836,8880,4077,4803,2673,1088,1585,1976,604,1372,524,306,218,243.6364,480.606,493.9394,2081.818,1169.091,1340,1833.939,931.5151,1141.818,625.4545,390.9091,370.9091,792.7273,285.4546,593.9394,253.3333,174.5455,166.0606
"01043","Cullman County, Alabama","ACSSF","al","050","00","0000015",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043","Cullman County",,,,88651,43832,44819,76110,37640,38470,7615,3386,4229,2079,990,1089,2841,1810,1031,6,6,0,222.4242,304.2424,337.5757,2218.788,1140.606,1281.212,1576.97,595.7576,1110.303,689.697,388.4849,395.7576,1644.242,969.0909,723.0303,8.484848,8.484848,130.9091
"01049","DeKalb County, Alabama","ACSSF","al","050","00","0000016",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County",,,,70401,35319,35082,62515,31095,31420,4781,2816,1965,2828,1408,1420,181,0,181,96,0,96,463.6364,621.8182,464.2424,1443.03,891.5151,938.1818,1355.758,796.3636,648.4849,925.4545,533.9394,530.9091,152.1212,130.9091,152.1212,72.12122,130.9091,72.12122
"01051","Elmore County, Alabama","ACSSF","al","050","00","0000017",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051","Elmore County",,,,88231,43863,44368,78493,38507,39986,3605,1339,2266,4954,3062,1892,663,531,132,516,424,92,443.0303,484.2424,407.2727,2050.909,1032.727,1303.03,1629.697,491.5151,1215.758,1230.909,804.8485,592.7273,341.2121,272.7273,103.6364,365.4546,280.606,103.0303
"01055","Etowah County, Alabama","ACSSF","al","050","00","0000018",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055","Etowah County",,,,101639,49048,52591,90328,44752,45576,5783,1740,4043,3291,1295,1996,2046,1070,976,191,191,0,415.1515,381.8182,418.1818,1669.091,793.9394,1333.333,1201.818,511.5151,935.7576,1140.606,458.7879,810.9091,702.4243,367.2727,461.8182,190.9091,190.9091,130.9091
"01069","Houston County, Alabama","ACSSF","al","050","00","0000019",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069","Houston County",,,,106491,51170,55321,94820,45540,49280,7089,3648,3441,2308,1215,1093,2201,737,1464,73,30,43,148.4848,164.2424,138.7879,1102.424,590.9091,656.9697,936.9697,498.7879,547.8788,470.303,317.5757,229.697,430.9091,178.7879,355.7576,42.42424,21.81818,29.09091
"01073","Jefferson County, Alabama","ACSSF","al","050","00","0000020",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County",,,,661383,314389,346994,578148,277143,301005,57458,24380,33078,14171,7559,6612,10341,4673,5668,1265,634,631,1144.242,861.2121,677.5757,5993.333,3067.273,3834.545,4747.273,2247.273,3346.667,2952.121,2089.091,1273.333,1783.636,1096.97,940.6061,389.697,240.6061,238.7879
"01077","Lauderdale County, Alabama","ACSSF","al","050","00","0000021",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County",,,,93017,44528,48489,78776,38038,40738,8660,4006,4654,3913,1882,2031,1538,472,1066,130,130,0,338.7879,304.8485,205.4545,1910.303,1073.333,1258.788,1692.121,930.303,1166.667,960,481.2121,575.1515,546.6667,214.5455,383.0303,121.2121,121.2121,130.9091
"01081","Lee County, Alabama","ACSSF","al","050","00","0000022",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081","Lee County",,,,175946,86369,89577,147400,71372,76028,15380,8072,7308,7763,3598,4165,5171,3189,1982,232,138,94,369.697,884.2424,751.5151,3114.545,1961.818,1893.333,2656.97,1595.151,1377.576,1584.242,873.9394,1065.455,1115.151,840.6061,446.6667,132.7273,99.39394,98.18182
"01083","Limestone County, Alabama","ACSSF","al","050","00","0000023",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083","Limestone County",,,,106616,52790,53826,97432,48145,49287,4341,2180,2161,4635,2320,2315,208,145,63,0,0,0,369.697,1007.273,965.4545,2128.485,1340,1513.333,1558.182,1109.697,665.4545,1387.879,683.0303,803.0303,127.2727,81.81818,65.45454,130.9091,130.9091,130.9091
"01089","Madison County, Alabama","ACSSF","al","050","00","0000024",,,,,"01","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089","Madison County",,,,390996,193186,197810,333768,162707,171061,27480,15446,12034,11398,6319,5079,14706,7217,7489,3644,1497,2147,786.0606,722.4243,717.5757,5113.333,2666.667,2957.576,3529.697,2063.03,1760.606,2253.333,1315.151,1117.576,2380,1365.455,1394.545,1015.151,580.6061,633.3333
"01095","Marshall County, Alabama","ACSSF","al","050","00","0000025",,,,,"01","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095","Marshall County",,,,96533,46699,49834,86322,41555,44767,5419,2519,2900,3412,1851,1561,1246,710,536,134,64,70,666.6667,852.1212,798.1818,1474.545,1053.939,1140.606,950.9091,483.0303,551.5151,1256.364,778.7879,557.5757,401.8182,215.7576,209.0909,127.2727,70.90909,60
"01097","Mobile County, Alabama","ACSSF","al","050","00","0000026",,,,,"01","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097","Mobile County",,,,407194,195111,212083,358832,168866,189966,35383,18989,16394,3147,1458,1689,9403,5638,3765,429,160,269,943.0303,790.303,860,3997.576,2512.121,2184.242,3476.97,2109.697,1785.455,542.4243,374.5454,395.7576,1544.849,1148.485,841.8182,347.8788,141.8182,224.8485
"01101","Montgomery County, Alabama","ACSSF","al","050","00","0000027",,,,,"01","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County",,,,225345,105079,120266,189960,88934,101026,19326,8213,11113,4768,2727,2041,9912,4713,5199,1379,492,887,487.8788,656.9697,531.5151,3552.727,1905.455,2337.576,2579.394,1393.939,1676.364,1439.394,1032.727,714.5455,1994.545,845.4545,1300.606,487.8788,202.4242,430.9091
"01103","Morgan County, Alabama","ACSSF","al","050","00","0000028",,,,,"01","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103","Morgan County",,,,122430,60414,62016,106714,53327,53387,10067,4403,5664,3570,2110,1460,1795,547,1248,284,27,257,380.606,588.4849,694.5455,2216.97,1381.818,1393.939,2266.667,941.8182,1517.576,1332.727,654.5455,787.8788,716.3636,292.7273,484.2424,206.6667,30.30303,203.6364
"01115","St. Clair County, Alabama","ACSSF","al","050","00","0000029",,,,,"01","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County",,,,91940,46542,45398,83719,42530,41189,4171,1662,2509,3423,1950,1473,627,400,227,0,0,0,262.4243,571.5151,578.7879,1613.333,907.2727,1292.121,1243.636,602.4243,867.8788,1097.576,563.0303,651.5151,546.0606,329.0909,233.3333,130.9091,130.9091,130.9091
"01117","Shelby County, Alabama","ACSSF","al","050","00","0000030",,,,,"01","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County",,,,225313,108734,116579,198802,96269,102533,12477,5894,6583,10414,4640,5774,3277,1684,1593,343,247,96,384.2424,606.0606,608.4849,2632.727,1635.758,1532.727,1853.333,1055.758,1173.333,1721.818,907.8788,1006.061,650.9091,466.0606,362.4243,164.8485,150.303,72.12122
"01121","Talladega County, Alabama","ACSSF","al","050","00","0000031",,,,,"01","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County",,,,80487,37998,42489,69383,31739,37644,5913,2818,3095,4003,2692,1311,1041,602,439,147,147,0,333.3333,528.4849,541.8182,2037.576,1377.576,1092.121,1553.939,953.3333,913.3333,803.0303,642.4243,497.5757,336.9697,181.2121,229.697,102.4242,102.4242,130.9091
"01125","Tuscaloosa County, Alabama","ACSSF","al","050","00","0000032",,,,,"01","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County",,,,225404,108774,116630,191549,93855,97694,18728,7666,11062,7006,3918,3088,7620,2940,4680,501,395,106,423.6364,665.4545,570.303,3483.03,1837.576,2383.03,2695.758,1221.818,1816.364,1356.97,753.9394,844.8485,1976.97,856.9697,1519.394,236.3636,217.5758,79.39394
"02020","Anchorage Municipality, Alaska","ACSSF","ak","050","00","0000010",,,,,"02","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality",,,,285328,145943,139385,241360,123032,118328,24607,12059,12548,3311,1968,1343,14591,7932,6659,1459,952,507,600,823.0303,972.1212,3176.97,2018.182,2078.788,2654.545,1618.788,1528.485,813.9394,483.0303,460.606,1934.545,1064.849,1121.212,487.8788,296.3636,241.8182
"02090","Fairbanks North Star Borough, Alaska","ACSSF","ak","050","00","0000011",,,,,"02","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough",,,,94013,50821,43192,80424,42289,38135,5985,3793,2192,634,427,207,5850,3576,2274,1120,736,384,398.7879,837.5757,772.7273,1850.909,1634.545,956.9697,1404.849,1110.303,569.697,254.5455,206.6667,140.6061,896.3636,616.3636,458.1818,681.2121,490.9091,212.7273
"02170","Matanuska-Susitna Borough, Alaska","ACSSF","ak","050","00","0000012",,,,,"02","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough",,,,108921,56551,52370,94540,49041,45499,8021,4293,3728,2951,1572,1379,3258,1575,1683,151,70,81,360,388.4849,444.2424,1516.364,953.9394,784.2424,1014.545,593.9394,510.303,424.8485,240.6061,269.697,733.3333,523.6364,346.0606,89.69697,53.33333,69.69697
"04001","Apache County, Arizona","ACSSF","az","050","00","0000012",,,,,"04","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001","Apache County",,,,65008,31684,33324,61451,29802,31649,1108,650,458,764,482,282,1685,750,935,0,0,0,200.6061,286.6667,212.7273,901.2121,603.6364,459.394,692.1212,421.8182,295.7576,296.9697,224.8485,140.6061,613.9394,367.2727,327.8788,135.7576,135.7576,135.7576
"04003","Cochise County, Arizona","ACSSF","az","050","00","0000013",,,,,"04","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003","Cochise County",,,,125009,63469,61540,107160,53804,53356,5652,2635,3017,3060,1444,1616,7122,4450,2672,2015,1136,879,287.2727,544.8485,584.8485,2203.03,1469.697,1137.576,1210.909,641.2121,715.7576,796.3636,395.1515,483.6364,1707.879,1121.212,685.4545,836.3636,444.2424,454.5454
"04005","Coconino County, Arizona","ACSSF","az","050","00","0000014",,,,,"04","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04005","Coconino County",,,,143963,70706,73257,116015,57530,58485,11021,5367,5654,9827,4723,5104,6051,2600,3451,1049,486,563,284.2424,561.2121,650.9091,2396.97,1426.667,1553.939,1632.727,929.697,1006.061,1603.03,822.4243,1040.606,1048.485,627.2727,688.4849,454.5454,336.3636,203.0303
"04013","Maricopa County, Arizona","ACSSF","az","050","00","0000015",,,,,"04","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County",,,,4451026,2212761,2238265,3803136,1894090,1909046,437605,214316,223289,36257,18258,17999,155224,76998,78226,18804,9099,9705,2521.212,1760.606,1718.788,13699.39,7461.818,8572.121,11776.36,6154.545,7152.121,3291.515,2181.818,1919.394,6530.303,3395.758,4093.939,2148.485,1187.273,1437.576
"04015","Mohave County, Arizona","ACSSF","az","050","00","0000016",,,,,"04","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04015","Mohave County",,,,215753,109917,105836,189036,95857,93179,10900,5794,5106,3148,1962,1186,11909,5702,6207,760,602,158,566.0606,847.8788,829.0909,3078.182,1993.939,1857.576,1682.424,1233.939,866.6667,860.6061,566.6667,375.7576,1880.606,1081.212,1013.333,431.5151,384.2424,112.1212
"04017","Navajo County, Arizona","ACSSF","az","050","00","0000017",,,,,"04","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04017","Navajo County",,,,107208,54022,53186,97828,48595,49233,3758,1635,2123,3666,2828,838,1865,950,915,91,14,77,243.6364,452.1212,499.394,1670.909,1043.03,974.5455,1020,424.8485,680,918.1818,764.8485,270.303,664.2424,364.2424,386.0606,80.60606,19.39394,78.18182
"04019","Pima County, Arizona","ACSSF","az","050","00","0000018",,,,,"04","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04019","Pima County",,,,1040569,514346,526223,874349,432518,441831,106421,51352,55069,22194,12280,9914,31896,14921,16975,5709,3275,2434,1224.242,1038.182,935.7576,7574.545,4104.242,4175.151,6983.636,3608.485,3918.788,2658.182,1532.121,1425.455,2466.667,1546.061,1340.606,1395.758,992.1212,584.2424
"04021","Pinal County, Arizona","ACSSF","az","050","00","0000019",,,,,"04","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04021","Pinal County",,,,444728,229976,214752,380130,194338,185792,18781,10192,8589,25165,13860,11305,19716,10861,8855,936,725,211,768.4849,634.5455,670.303,4074.545,2511.515,2229.091,2727.879,1456.97,1500,2708.485,1733.333,1564.849,2237.576,1418.182,1044.242,573.9394,544.2424,110.9091
