Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS21_5yr_B07003001,ACS21_5yr_B07003002,ACS21_5yr_B07003003,ACS21_5yr_B07003004,ACS21_5yr_B07003005,ACS21_5yr_B07003006,ACS21_5yr_B07003007,ACS21_5yr_B07003008,ACS21_5yr_B07003009,ACS21_5yr_B07003010,ACS21_5yr_B07003011,ACS21_5yr_B07003012,ACS21_5yr_B07003013,ACS21_5yr_B07003014,ACS21_5yr_B07003015,ACS21_5yr_B07003016,ACS21_5yr_B07003017,ACS21_5yr_B07003018,ACS21_5yr_B07003001s,ACS21_5yr_B07003002s,ACS21_5yr_B07003003s,ACS21_5yr_B07003004s,ACS21_5yr_B07003005s,ACS21_5yr_B07003006s,ACS21_5yr_B07003007s,ACS21_5yr_B07003008s,ACS21_5yr_B07003009s,ACS21_5yr_B07003010s,ACS21_5yr_B07003011s,ACS21_5yr_B07003012s,ACS21_5yr_B07003013s,ACS21_5yr_B07003014s,ACS21_5yr_B07003015s,ACS21_5yr_B07003016s,ACS21_5yr_B07003017s,ACS21_5yr_B07003018s
"01001","Autauga County, Alabama","ACSSF","al","050","00","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County",,,,57537,27861,29676,51174,24853,26321,2711,1100,1611,2036,1147,889,1261,623,638,355,138,217,110.303,140.6061,162.4242,807.8788,449.0909,476.3636,485.4546,210.303,317.5757,335.1515,223.0303,187.8788,304.2424,171.5152,159.3939,183.6364,77.57576,124.8485
"01003","Baldwin County, Alabama","ACSSF","al","050","00","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,,225170,109912,115258,197242,96356,100886,15253,6727,8526,4320,2193,2127,7831,4355,3476,524,281,243,281.8182,218.7879,190.9091,1387.273,763.0303,829.0909,1260.606,644.2424,773.9394,538.1818,314.5454,306.0606,811.5151,544.8485,397.5757,139.3939,81.81818,84.24242
"01005","Barbour County, Alabama","ACSSF","al","050","00","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County",,,,25030,13205,11825,21152,11296,9856,2355,1097,1258,1129,638,491,348,144,204,46,30,16,49.69697,49.69697,47.27273,377.5757,210.9091,214.5455,369.0909,180,213.3333,212.1212,113.9394,137.5758,92.72727,43.63636,78.78788,25.45455,20,10.90909
"01007","Bibb County, Alabama","ACSSF","al","050","00","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County",,,,22143,12077,10066,19299,10594,8705,856,319,537,1669,1008,661,310,147,163,9,9,0,90.90909,90.90909,94.54546,370.303,243.6364,224.8485,190.9091,112.7273,133.3333,321.2121,209.697,170.303,103.0303,46.66667,75.15151,10.90909,10.90909,14.54545
"01009","Blount County, Alabama","ACSSF","al","050","00","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County",,,,58151,29218,28933,52470,26321,26149,3373,1798,1575,1807,802,1005,446,297,149,55,0,55,133.3333,120,144.8485,552.7273,318.7879,307.8788,452.7273,263.0303,235.1515,272.1212,130.9091,170.9091,139.3939,123.0303,53.33333,34.54546,18.18182,34.54546
"01011","Bullock County, Alabama","ACSSF","al","050","00","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County",,,,10342,5634,4708,8972,4878,4094,1043,466,577,213,203,10,55,46,9,59,41,18,32.72727,113.3333,118.7879,272.7273,169.0909,196.9697,247.8788,123.6364,153.3333,78.18182,77.57576,7.878788,28.48485,26.06061,6.060606,44.84848,31.51515,13.93939
"01013","Butler County, Alabama","ACSSF","al","050","00","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County",,,,18995,8882,10113,18086,8449,9637,311,153,158,309,144,165,230,121,109,59,15,44,47.87879,94.54546,97.57576,150.9091,141.2121,124.8485,63.0303,49.09091,40,89.69697,50.90909,52.72727,60.60606,48.48485,35.15152,30.90909,10.90909,29.09091
"01015","Calhoun County, Alabama","ACSSF","al","050","00","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,,115176,55353,59823,99744,48139,51605,9282,4471,4811,3443,1523,1920,2357,1109,1248,350,111,239,173.3333,174.5455,138.7879,913.9394,553.3333,529.0909,816.9697,460,482.4243,345.4546,164.2424,240,433.9394,243.0303,241.2121,103.6364,43.0303,94.54546
"01017","Chambers County, Alabama","ACSSF","al","050","00","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County",,,,34474,16599,17875,31763,15231,16532,1326,768,558,724,293,431,608,294,314,53,13,40,66.66666,109.0909,127.2727,395.1515,240.6061,240,269.0909,189.0909,117.5758,177.5758,84.24242,108.4848,144.8485,103.6364,77.57576,30.30303,12.12121,23.63636
"01019","Cherokee County, Alabama","ACSSF","al","050","00","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County",,,,24723,12228,12495,22023,11072,10951,1020,389,631,1066,490,576,614,277,337,0,0,0,63.63636,99.39394,104.8485,349.697,181.2121,238.1818,224.2424,101.2121,144.2424,258.1818,119.3939,155.1515,124.2424,64.84849,90.90909,14.54545,14.54545,14.54545
