"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0100000US","United States","306603772","*****","*****","null","267334934","null","113167","null","39268838","null","113205","null",
"0500000US01001","Autauga County, Alabama","53944","*****","*****","null","52871","null","225","null","1073","null","225","null",
"0500000US01003","Baldwin County, Alabama","179523","*****","*****","null","172792","null","833","null","6731","null","833","null",
"0500000US01005","Barbour County, Alabama","27546","*****","*****","null","26713","null","206","null","833","null","206","null",
"0500000US01007","Bibb County, Alabama","22746","*****","*****","null","22455","null","100","null","291","null","100","null",
"0500000US01009","Blount County, Alabama","57140","*****","*****","null","54550","null","286","null","2590","null","286","null",
"0500000US01011","Bullock County, Alabama","10877","*****","*****","null","10383","null","330","null","494","null","330","null",
"0500000US01013","Butler County, Alabama","20860","*****","*****","null","20643","null","134","null","217","null","134","null",
"0500000US01015","Calhoun County, Alabama","117614","*****","*****","null","114924","null","331","null","2690","null","331","null",
"0500000US01017","Chambers County, Alabama","34375","*****","*****","null","33981","null","126","null","394","null","126","null",
"0500000US01019","Cherokee County, Alabama","25819","*****","*****","null","25602","null","119","null","217","null","119","null",
"0500000US01021","Chilton County, Alabama","43444","*****","*****","null","41542","null","235","null","1902","null","235","null",
"0500000US01023","Choctaw County, Alabama","13953","*****","*****","null","13892","null","45","null","61","null","45","null",
"0500000US01025","Clarke County, Alabama","26046","*****","*****","null","25910","null","44","null","136","null","44","null",
"0500000US01027","Clay County, Alabama","14010","*****","*****","null","13700","null","50","null","310","null","50","null",
"0500000US01029","Cleburne County, Alabama","14881","*****","*****","null","14696","null","105","null","185","null","105","null",
"0500000US01031","Coffee County, Alabama","49221","*****","*****","null","46906","null","259","null","2315","null","259","null",
"0500000US01033","Colbert County, Alabama","54478","*****","*****","null","53565","null","220","null","913","null","220","null",
"0500000US01035","Conecuh County, Alabama","13286","*****","*****","null","13260","null","28","null","26","null","28","null",
"0500000US01037","Coosa County, Alabama","11303","*****","*****","null","11083","null","69","null","220","null","69","null",
"0500000US01039","Covington County, Alabama","37736","*****","*****","null","37232","null","138","null","504","null","138","null",
"0500000US01041","Crenshaw County, Alabama","13938","*****","*****","null","13659","null","50","null","279","null","50","null",
"0500000US01043","Cullman County, Alabama","80246","*****","*****","null","78090","null","254","null","2156","null","254","null",
"0500000US01045","Dale County, Alabama","49920","*****","*****","null","47976","null","313","null","1944","null","313","null",
