"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0100000US","United States","309138711","*****","*****","null","269354406","104868","null","null","39784305","null","104903","null",
"0500000US01001","Autauga County, Alabama","54590","*****","*****","null","53834","208","null","null","756","null","208","null",
"0500000US01003","Baldwin County, Alabama","183226","*****","*****","null","176391","846","null","null","6835","null","846","null",
"0500000US01005","Barbour County, Alabama","27469","*****","*****","null","26691","128","null","null","778","null","128","null",
"0500000US01007","Bibb County, Alabama","22769","*****","*****","null","22484","158","null","null","285","null","158","null",
"0500000US01009","Blount County, Alabama","57466","*****","*****","null","54761","233","null","null","2705","null","233","null",
"0500000US01011","Bullock County, Alabama","10779","*****","*****","null","10287","511","null","null","492","null","511","null",
"0500000US01013","Butler County, Alabama","20730","*****","*****","null","20459","94","null","null","271","null","94","null",
"0500000US01015","Calhoun County, Alabama","117834","*****","*****","null","115015","397","null","null","2819","null","397","null",
"0500000US01017","Chambers County, Alabama","34228","*****","*****","null","33826","116","null","null","402","null","116","null",
"0500000US01019","Cherokee County, Alabama","25917","*****","*****","null","25719","103","null","null","198","null","103","null",
"0500000US01021","Chilton County, Alabama","43611","*****","*****","null","41570","310","null","null","2041","null","310","null",
"0500000US01023","Choctaw County, Alabama","13838","*****","*****","null","13793","38","null","null","45","null","38","null",
"0500000US01025","Clarke County, Alabama","25768","*****","*****","null","25621","66","null","null","147","null","66","null",
"0500000US01027","Clay County, Alabama","13828","*****","*****","null","13568","54","null","null","260","null","54","null",
"0500000US01029","Cleburne County, Alabama","14905","*****","*****","null","14731","93","null","null","174","null","93","null",
"0500000US01031","Coffee County, Alabama","49966","*****","*****","null","47606","323","null","null","2360","null","323","null",
"0500000US01033","Colbert County, Alabama","54451","*****","*****","null","53516","258","null","null","935","null","258","null",
"0500000US01035","Conecuh County, Alabama","13188","*****","*****","null","13137","43","null","null","51","null","43","null",
"0500000US01037","Coosa County, Alabama","11305","*****","*****","null","11115","69","null","null","190","null","69","null",
"0500000US01039","Covington County, Alabama","37803","*****","*****","null","37410","96","null","null","393","null","96","null",
"0500000US01041","Crenshaw County, Alabama","13971","*****","*****","null","13662","54","null","null","309","null","54","null",
"0500000US01043","Cullman County, Alabama","80403","*****","*****","null","78112","259","null","null","2291","null","259","null",
"0500000US01045","Dale County, Alabama","50129","*****","*****","null","48173","337","null","null","1956","null","337","null",
"0500000US01047","Dallas County, Alabama","43572","*****","*****","null","43223","115","null","null","349","null","115","null",
"0500000US01049","DeKalb County, Alabama","70949","*****","*****","null","65715","443","null","null","5234","null","443","null",
"0500000US01051","Elmore County, Alabama","79330","*****","*****","null","77561","275","null","null","1769","null","275","null",
"0500000US01053","Escambia County, Alabama","38122","*****","*****","null","37680","161","null","null","442","null","161","null",
"0500000US01055","Etowah County, Alabama","104317","*****","*****","null","102158","296","null","null","2159","null","296","null",
"0500000US01057","Fayette County, Alabama","17219","*****","*****","null","17109","83","null","null","110","null","83","null",
"0500000US01059","Franklin County, Alabama","31664","*****","*****","null","29118","279","null","null","2546","null","279","null",
"0500000US01061","Geneva County, Alabama","26769","*****","*****","null","26212","139","null","null","557","null","139","null",
"0500000US01063","Greene County, Alabama","9067","*****","*****","null","9052","21","null","null","15","null","21","null",
"0500000US01065","Hale County, Alabama","15750","*****","*****","null","15611","92","null","null","139","null","92","null",
"0500000US01067","Henry County, Alabama","17275","*****","*****","null","16780","167","null","null","495","null","167","null",
"0500000US01069","Houston County, Alabama","101459","*****","*****","null","99124","213","null","null","2335","null","213","null",
"0500000US01071","Jackson County, Alabama","53279","*****","*****","null","52173","196","null","null","1106","null","196","null",
"0500000US01073","Jefferson County, Alabama","658464","*****","*****","null","630266","1149","null","null","28198","null","1149","null",
"0500000US01075","Lamar County, Alabama","14513","*****","*****","null","14447","52","null","null","66","null","52","null",
"0500000US01077","Lauderdale County, Alabama","92528","*****","*****","null","90639","282","null","null","1889","null","282","null",
"0500000US01079","Lawrence County, Alabama","34148","*****","*****","null","33709","131","null","null","439","null","131","null",
"0500000US01081","Lee County, Alabama","140938","*****","*****","null","134061","491","null","null","6877","null","491","null",
"0500000US01083","Limestone County, Alabama","83313","*****","*****","null","79699","333","null","null","3614","null","333","null",
"0500000US01085","Lowndes County, Alabama","11304","*****","*****","null","11280","33","null","null","24","null","33","null",
"0500000US01087","Macon County, Alabama","21214","*****","*****","null","21034","74","null","null","180","null","74","null",
"0500000US01089","Madison County, Alabama","334661","*****","*****","null","316723","835","null","null","17938","null","835","null",
"0500000US01091","Marengo County, Alabama","20909","*****","*****","null","20769","117","null","null","140","null","117","null",
"0500000US01093","Marion County, Alabama","30641","*****","*****","null","30302","179","null","null","339","null","179","null",
"0500000US01095","Marshall County, Alabama","93070","*****","*****","null","85660","452","null","null","7410","null","452","null",
"0500000US01097","Mobile County, Alabama","412297","*****","*****","null","399032","765","null","null","13265","null","765","null",
"0500000US01099","Monroe County, Alabama","22993","*****","*****","null","22714","111","null","null","279","null","111","null",
"0500000US01101","Montgomery County, Alabama","229376","*****","*****","null","219446","644","null","null","9930","null","644","null",
"0500000US01103","Morgan County, Alabama","119330","*****","*****","null","112966","579","null","null","6364","null","579","null",
"0500000US01105","Perry County, Alabama","10525","*****","*****","null","10465","51","null","null","60","null","51","null",
"0500000US01107","Pickens County, Alabama","19646","*****","*****","null","19475","71","null","null","171","null","71","null",
"0500000US01109","Pike County, Alabama","32750","*****","*****","null","31334","448","null","null","1416","null","448","null",
"0500000US01111","Randolph County, Alabama","22843","*****","*****","null","22513","190","null","null","330","null","190","null",
