"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0100000US","United States","318558162","null","*****","*****","276363808","null","109174","null","42194354","null","109226","null",
"0500000US01001","Autauga County, Alabama","55049","null","*****","*****","54037","null","262","null","1012","null","262","null",
"0500000US01003","Baldwin County, Alabama","199510","null","*****","*****","192987","null","706","null","6523","null","706","null",
"0500000US01005","Barbour County, Alabama","26614","null","*****","*****","25853","null","82","null","761","null","82","null",
"0500000US01007","Bibb County, Alabama","22572","null","*****","*****","22267","null","85","null","305","null","85","null",
"0500000US01009","Blount County, Alabama","57704","null","*****","*****","55239","null","283","null","2465","null","283","null",
"0500000US01011","Bullock County, Alabama","10552","null","*****","*****","10392","null","122","null","160","null","122","null",
"0500000US01013","Butler County, Alabama","20280","null","*****","*****","19997","null","56","null","283","null","56","null",
"0500000US01015","Calhoun County, Alabama","115883","null","*****","*****","113109","null","333","null","2774","null","333","null",
"0500000US01017","Chambers County, Alabama","34018","null","*****","*****","33681","null","56","null","337","null","56","null",
"0500000US01019","Cherokee County, Alabama","25897","null","*****","*****","25709","null","108","null","188","null","108","null",
"0500000US01021","Chilton County, Alabama","43817","null","*****","*****","41382","null","249","null","2435","null","249","null",
"0500000US01023","Choctaw County, Alabama","13287","null","*****","*****","13265","null","17","null","22","null","17","null",
"0500000US01025","Clarke County, Alabama","24847","null","*****","*****","24731","null","75","null","116","null","75","null",
"0500000US01027","Clay County, Alabama","13483","null","*****","*****","13228","null","58","null","255","null","58","null",
"0500000US01029","Cleburne County, Alabama","14991","null","*****","*****","14729","null","50","null","262","null","50","null",
"0500000US01031","Coffee County, Alabama","50991","null","*****","*****","49085","null","304","null","1906","null","304","null",
"0500000US01033","Colbert County, Alabama","54377","null","*****","*****","53528","null","156","null","849","null","156","null",
"0500000US01035","Conecuh County, Alabama","12697","null","*****","*****","12589","null","49","null","108","null","49","null",
"0500000US01037","Coosa County, Alabama","10864","null","*****","*****","10728","null","122","null","136","null","122","null",
"0500000US01039","Covington County, Alabama","37729","null","*****","*****","37369","null","82","null","360","null","82","null",
"0500000US01041","Crenshaw County, Alabama","13896","null","*****","*****","13578","null","85","null","318","null","85","null",
"0500000US01043","Cullman County, Alabama","81316","null","*****","*****","79012","null","228","null","2304","null","228","null",
"0500000US01045","Dale County, Alabama","49607","null","*****","*****","48245","null","239","null","1362","null","239","null",
"0500000US01047","Dallas County, Alabama","41426","null","*****","*****","40816","null","133","null","610","null","133","null",
"0500000US01049","DeKalb County, Alabama","70937","null","*****","*****","65775","null","440","null","5162","null","440","null",
"0500000US01051","Elmore County, Alabama","80957","null","*****","*****","79377","null","276","null","1580","null","276","null",
"0500000US01053","Escambia County, Alabama","37875","null","*****","*****","37596","null","130","null","279","null","130","null",
"0500000US01055","Etowah County, Alabama","103363","null","*****","*****","100384","null","342","null","2979","null","342","null",
"0500000US01057","Fayette County, Alabama","16783","null","*****","*****","16689","null","83","null","94","null","83","null",
"0500000US01059","Franklin County, Alabama","31573","null","*****","*****","28768","null","280","null","2805","null","280","null",
"0500000US01061","Geneva County, Alabama","26765","null","*****","*****","26316","null","121","null","449","null","121","null",
"0500000US01063","Greene County, Alabama","8587","null","*****","*****","8565","null","24","null","22","null","24","null",
"0500000US01065","Hale County, Alabama","15159","null","*****","*****","15002","null","58","null","157","null","58","null",
"0500000US01067","Henry County, Alabama","17187","null","*****","*****","16893","null","102","null","294","null","102","null",
"0500000US01069","Houston County, Alabama","103891","null","*****","*****","101484","null","184","null","2407","null","184","null",
"0500000US01071","Jackson County, Alabama","52608","null","*****","*****","51421","null","284","null","1187","null","284","null",
"0500000US01073","Jefferson County, Alabama","659096","null","*****","*****","633221","null","1037","null","25875","null","1037","null",
"0500000US01075","Lamar County, Alabama","14066","null","*****","*****","13947","null","90","null","119","null","90","null",
"0500000US01077","Lauderdale County, Alabama","92641","null","*****","*****","90739","null","330","null","1902","null","330","null",
"0500000US01079","Lawrence County, Alabama","33433","null","*****","*****","33190","null","111","null","243","null","111","null",
"0500000US01081","Lee County, Alabama","153947","null","*****","*****","146007","null","813","null","7940","null","813","null",
"0500000US01083","Limestone County, Alabama","90257","null","*****","*****","86349","null","425","null","3908","null","425","null",
