"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0100000US","United States","321004407","*****","*****","null","277976280","123808","null","null","43028127","123858","null","null",
"0500000US01001","Autauga County, Alabama","55036","*****","*****","null","53873","271","null","null","1163","271","null","null",
"0500000US01003","Baldwin County, Alabama","203360","*****","*****","null","196754","703","null","null","6606","703","null","null",
"0500000US01005","Barbour County, Alabama","26201","*****","*****","null","25504","115","null","null","697","115","null","null",
"0500000US01007","Bibb County, Alabama","22580","*****","*****","null","22349","76","null","null","231","76","null","null",
"0500000US01009","Blount County, Alabama","57667","*****","*****","null","55046","247","null","null","2621","247","null","null",
"0500000US01011","Bullock County, Alabama","10478","*****","*****","null","10286","157","null","null","192","157","null","null",
"0500000US01013","Butler County, Alabama","20126","*****","*****","null","19915","45","null","null","211","45","null","null",
"0500000US01015","Calhoun County, Alabama","115527","*****","*****","null","112506","333","null","null","3021","333","null","null",
"0500000US01017","Chambers County, Alabama","33895","*****","*****","null","33454","120","null","null","441","120","null","null",
"0500000US01019","Cherokee County, Alabama","25855","*****","*****","null","25682","104","null","null","173","104","null","null",
"0500000US01021","Chilton County, Alabama","43805","*****","*****","null","41587","181","null","null","2218","181","null","null",
"0500000US01023","Choctaw County, Alabama","13188","*****","*****","null","13138","36","null","null","50","36","null","null",
"0500000US01025","Clarke County, Alabama","24625","*****","*****","null","24519","88","null","null","106","88","null","null",
