"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0100000US","United States","322903030","null","*****","*****","279363531","131204","null","null","43539499","131250","null","null",
"0500000US01001","Autauga County, Alabama","55200","null","*****","*****","54086","183","null","null","1114","183","null","null",
"0500000US01003","Baldwin County, Alabama","208107","null","*****","*****","200937","833","null","null","7170","833","null","null",
"0500000US01005","Barbour County, Alabama","25782","null","*****","*****","25136","109","null","null","646","109","null","null",
"0500000US01007","Bibb County, Alabama","22527","null","*****","*****","22202","131","null","null","325","131","null","null",
"0500000US01009","Blount County, Alabama","57645","null","*****","*****","55132","266","null","null","2513","266","null","null",
"0500000US01011","Bullock County, Alabama","10352","null","*****","*****","10256","71","null","null","96","71","null","null",
"0500000US01013","Butler County, Alabama","20025","null","*****","*****","19750","51","null","null","275","51","null","null",
"0500000US01015","Calhoun County, Alabama","115098","null","*****","*****","112039","357","null","null","3059","357","null","null",
"0500000US01017","Chambers County, Alabama","33826","null","*****","*****","33356","110","null","null","470","110","null","null",
"0500000US01019","Cherokee County, Alabama","25853","null","*****","*****","25648","93","null","null","205","93","null","null",
"0500000US01021","Chilton County, Alabama","43930","null","*****","*****","41960","300","null","null","1970","300","null","null",
"0500000US01023","Choctaw County, Alabama","13075","null","*****","*****","13010","47","null","null","65","47","null","null",
"0500000US01025","Clarke County, Alabama","24387","null","*****","*****","24294","62","null","null","93","62","null","null",
"0500000US01027","Clay County, Alabama","13378","null","*****","*****","13117","84","null","null","261","84","null","null",
"0500000US01029","Cleburne County, Alabama","14938","null","*****","*****","14713","56","null","null","225","56","null","null",
"0500000US01031","Coffee County, Alabama","51288","null","*****","*****","49448","345","null","null","1840","345","null","null",
"0500000US01033","Colbert County, Alabama","54495","null","*****","*****","53590","187","null","null","905","187","null","null",
"0500000US01035","Conecuh County, Alabama","12514","null","*****","*****","12425","50","null","null","89","50","null","null",
"0500000US01037","Coosa County, Alabama","10855","null","*****","*****","10804","79","null","null","51","79","null","null",
"0500000US01039","Covington County, Alabama","37351","null","*****","*****","37073","77","null","null","278","77","null","null",
"0500000US01041","Crenshaw County, Alabama","13865","null","*****","*****","13595","116","null","null","270","116","null","null",
"0500000US01043","Cullman County, Alabama","82313","null","*****","*****","80328","310","null","null","1985","310","null","null",
"0500000US01045","Dale County, Alabama","49255","null","*****","*****","47618","369","null","null","1637","369","null","null",
"0500000US01047","Dallas County, Alabama","40029","null","*****","*****","39501","146","null","null","528","146","null","null",
"0500000US01049","DeKalb County, Alabama","71200","null","*****","*****","65875","382","null","null","5325","382","null","null",
"0500000US01051","Elmore County, Alabama","81212","null","*****","*****","79766","321","null","null","1446","321","null","null",
"0500000US01053","Escambia County, Alabama","37328","null","*****","*****","36963","200","null","null","365","200","null","null",
"0500000US01055","Etowah County, Alabama","102939","null","*****","*****","99962","293","null","null","2977","293","null","null",
"0500000US01057","Fayette County, Alabama","16585","null","*****","*****","16433","101","null","null","152","101","null","null",
"0500000US01059","Franklin County, Alabama","31542","null","*****","*****","28623","564","null","null","2919","564","null","null",
"0500000US01061","Geneva County, Alabama","26491","null","*****","*****","26085","91","null","null","406","91","null","null",
"0500000US01063","Greene County, Alabama","8426","null","*****","*****","8418","7","null","null","8","7","null","null",
"0500000US01065","Hale County, Alabama","14887","null","*****","*****","14801","53","null","null","86","53","null","null",
"0500000US01067","Henry County, Alabama","17124","null","*****","*****","16939","86","null","null","185","86","null","null",
"0500000US01069","Houston County, Alabama","104352","null","*****","*****","101985","195","null","null","2367","195","null","null",
"0500000US01071","Jackson County, Alabama","52094","null","*****","*****","51195","216","null","null","899","216","null","null",
"0500000US01073","Jefferson County, Alabama","659892","null","*****","*****","633282","1055","null","null","26610","1055","null","null",
"0500000US01075","Lamar County, Alabama","13933","null","*****","*****","13847","95","null","null","86","95","null","null",
"0500000US01077","Lauderdale County, Alabama","92585","null","*****","*****","90680","316","null","null","1905","316","null","null",
"0500000US01079","Lawrence County, Alabama","33171","null","*****","*****","32847","132","null","null","324","132","null","null",
"0500000US01081","Lee County, Alabama","159287","null","*****","*****","150602","720","null","null","8685","720","null","null",
"0500000US01083","Limestone County, Alabama","93052","null","*****","*****","89613","408","null","null","3439","408","null","null",
"0500000US01085","Lowndes County, Alabama","10236","null","*****","*****","10204","31","null","null","32","31","null","null",
"0500000US01087","Macon County, Alabama","19054","null","*****","*****","18853","78","null","null","201","78","null","null",
"0500000US01089","Madison County, Alabama","357560","null","*****","*****","337989","1030","null","null","19571","1030","null","null",
"0500000US01091","Marengo County, Alabama","19538","null","*****","*****","19451","76","null","null","87","76","null","null",
"0500000US01093","Marion County, Alabama","29965","null","*****","*****","29589","124","null","null","376","124","null","null",
"0500000US01095","Marshall County, Alabama","95145","null","*****","*****","88900","511","null","null","6245","511","null","null",
"0500000US01097","Mobile County, Alabama","414659","null","*****","*****","401061","993","null","null","13598","993","null","null",
"0500000US01099","Monroe County, Alabama","21512","null","*****","*****","21376","61","null","null","136","61","null","null",
"0500000US01101","Montgomery County, Alabama","226941","null","*****","*****","216322","691","null","null","10619","691","null","null",
"0500000US01103","Morgan County, Alabama","119122","null","*****","*****","114075","448","null","null","5047","448","null","null",
"0500000US01105","Perry County, Alabama","9486","null","*****","*****","9343","129","null","null","143","129","null","null",
"0500000US01107","Pickens County, Alabama","20298","null","*****","*****","19635","145","null","null","663","145","null","null",
"0500000US01109","Pike County, Alabama","33403","null","*****","*****","31968","377","null","null","1435","377","null","null",
"0500000US01111","Randolph County, Alabama","22574","null","*****","*****","22214","113","null","null","360","113","null","null",
"0500000US01113","Russell County, Alabama","58213","null","*****","*****","56732","429","null","null","1481","429","null","null",
"0500000US01115","St. Clair County, Alabama","87306","null","*****","*****","85807","241","null","null","1499","241","null","null",
"0500000US01117","Shelby County, Alabama","211261","null","*****","*****","200101","747","null","null","11160","747","null","null",
"0500000US01119","Sumter County, Alabama","12985","null","*****","*****","12717","144","null","null","268","144","null","null",
"0500000US01121","Talladega County, Alabama","80565","null","*****","*****","79174","275","null","null","1391","275","null","null",
"0500000US01123","Tallapoosa County, Alabama","40636","null","*****","*****","40039","81","null","null","597","81","null","null",
"0500000US01125","Tuscaloosa County, Alabama","206213","null","*****","*****","198660","578","null","null","7553","578","null","null",
