"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Native","Annotation of Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Annotation of Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born","Annotation of Margin of Error!!Total:!!Foreign-Born","Annotation of Estimate!!Total:!!Foreign-Born",
"0100000US","United States","329725481","*****","*****","null","284880673","null","126145","null","44844808","126423","null","null",
"0500000US01001","Autauga County, Alabama","58239","*****","*****","null","56998","null","389","null","1241","389","null","null",
"0500000US01003","Baldwin County, Alabama","227131","*****","*****","null","219193","null","937","null","7938","937","null","null",
"0500000US01005","Barbour County, Alabama","25259","*****","*****","null","24600","null","118","null","659","118","null","null",
"0500000US01007","Bibb County, Alabama","22412","*****","*****","null","22167","null","130","null","245","130","null","null",
"0500000US01009","Blount County, Alabama","58884","*****","*****","null","56234","null","289","null","2650","289","null","null",
"0500000US01011","Bullock County, Alabama","10386","*****","*****","null","10261","null","110","null","125","110","null","null",
"0500000US01013","Butler County, Alabama","19181","*****","*****","null","18861","null","87","null","320","87","null","null",
"0500000US01015","Calhoun County, Alabama","116425","*****","*****","null","113486","null","407","null","2939","407","null","null",
"0500000US01017","Chambers County, Alabama","34834","*****","*****","null","34141","null","174","null","693","174","null","null",
"0500000US01019","Cherokee County, Alabama","24975","*****","*****","null","24467","null","200","null","508","200","null","null",
"0500000US01021","Chilton County, Alabama","44857","*****","*****","null","43233","null","435","null","1624","435","null","null",
"0500000US01023","Choctaw County, Alabama","12792","*****","*****","null","12685","null","66","null","107","66","null","null",
"0500000US01025","Clarke County, Alabama","23346","*****","*****","null","23187","null","72","null","159","72","null","null",
"0500000US01027","Clay County, Alabama","14184","*****","*****","null","14096","null","63","null","88","63","null","null",
"0500000US01029","Cleburne County, Alabama","15046","*****","*****","null","14847","null","78","null","199","78","null","null",
"0500000US01031","Coffee County, Alabama","53043","*****","*****","null","50897","null","342","null","2146","342","null","null",
"0500000US01033","Colbert County, Alabama","56789","*****","*****","null","55827","null","223","null","962","223","null","null",
"0500000US01035","Conecuh County, Alabama","11778","*****","*****","null","11684","null","55","null","94","55","null","null",
"0500000US01037","Coosa County, Alabama","10442","*****","*****","null","10411","null","42","null","31","42","null","null",
"0500000US01039","Covington County, Alabama","37490","*****","*****","null","37138","null","90","null","352","90","null","null",
"0500000US01041","Crenshaw County, Alabama","13300","*****","*****","null","13089","null","30","null","211","30","null","null",
"0500000US01043","Cullman County, Alabama","87129","*****","*****","null","85284","null","316","null","1845","316","null","null",
"0500000US01045","Dale County, Alabama","49443","*****","*****","null","47790","null","343","null","1653","343","null","null",
"0500000US01047","Dallas County, Alabama","39162","*****","*****","null","38809","null","112","null","353","112","null","null",
"0500000US01049","DeKalb County, Alabama","71554","*****","*****","null","66177","null","404","null","5377","404","null","null",
"0500000US01051","Elmore County, Alabama","87146","*****","*****","null","85190","null","381","null","1956","381","null","null",
"0500000US01053","Escambia County, Alabama","36879","*****","*****","null","36560","null","152","null","319","152","null","null",
"0500000US01055","Etowah County, Alabama","103468","*****","*****","null","101011","null","391","null","2457","391","null","null",
"0500000US01057","Fayette County, Alabama","16365","*****","*****","null","16223","null","89","null","142","89","null","null",
"0500000US01059","Franklin County, Alabama","32034","*****","*****","null","28974","null","347","null","3060","347","null","null",
"0500000US01061","Geneva County, Alabama","26604","*****","*****","null","26172","null","144","null","432","144","null","null",
"0500000US01063","Greene County, Alabama","7851","*****","*****","null","7795","null","49","null","56","49","null","null",
"0500000US01065","Hale County, Alabama","14819","*****","*****","null","14735","null","63","null","84","63","null","null",
"0500000US01067","Henry County, Alabama","17165","*****","*****","null","17025","null","58","null","140","58","null","null",
"0500000US01069","Houston County, Alabama","106355","*****","*****","null","103792","null","249","null","2563","249","null","null",
"0500000US01071","Jackson County, Alabama","52548","*****","*****","null","51634","null","192","null","914","192","null","null",
"0500000US01073","Jefferson County, Alabama","672550","*****","*****","null","647213","null","1279","null","25337","1279","null","null",
"0500000US01075","Lamar County, Alabama","13929","*****","*****","null","13832","null","79","null","97","79","null","null",
"0500000US01077","Lauderdale County, Alabama","93342","*****","*****","null","91372","null","333","null","1970","333","null","null",
"0500000US01079","Lawrence County, Alabama","33089","*****","*****","null","32822","null","97","null","267","97","null","null",
"0500000US01081","Lee County, Alabama","172223","*****","*****","null","162435","null","668","null","9788","668","null","null",
"0500000US01083","Limestone County, Alabama","101217","*****","*****","null","97463","null","574","null","3754","574","null","null",
"0500000US01085","Lowndes County, Alabama","10334","*****","*****","null","10265","null","83","null","69","83","null","null",
