Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T119_001,SE_T119_002,SE_T119_003,SE_T119_004,SE_T119_005,SE_T119_006
"Autauga County","Autauga County, Alabama","G0100010","0100010","11","01001","01","001",32259,31984,24177,7569,238,275
"Baldwin County","Baldwin County, Alabama","G0100030","0100030","11","01003","01","003",78556,77537,55231,21987,319,1019
"Barbour County","Barbour County, Alabama","G0100050","0100050","11","01005","01","005",24756,24594,20062,4455,77,162
"Bibb County","Bibb County, Alabama","G0100070","0100070","11","01007","01","007",15723,15658,14460,1194,4,65
"Blount County","Blount County, Alabama","G0100090","0100090","11","01009","01","009",36459,36376,32526,3808,42,83
"Bullock County","Bullock County, Alabama","G0100110","0100110","11","01011","01","011",10596,10540,9720,797,23,56
"Butler County","Butler County, Alabama","G0100130","0100130","11","01013","01","013",21680,21608,19733,1850,25,72
"Calhoun County","Calhoun County, Alabama","G0100150","0100150","11","01015","01","015",119761,118137,87892,29125,1120,1624
"Chambers County","Chambers County, Alabama","G0100170","0100170","11","01017","01","017",39191,39077,32780,6265,32,114
"Cherokee County","Cherokee County, Alabama","G0100190","0100190","11","01019","01","019",18760,18703,14720,3953,30,57
"Chilton County","Chilton County, Alabama","G0100210","0100210","11","01021","01","021",30612,30502,27659,2804,39,110
"Choctaw County","Choctaw County, Alabama","G0100230","0100230","11","01023","01","023",16839,16716,13712,2977,27,123
"Clarke County","Clarke County, Alabama","G0100250","0100250","11","01025","01","025",27702,27541,25316,2186,39,161
"Clay County","Clay County, Alabama","G0100270","0100270","11","01027","01","027",13703,13666,12548,1103,15,37
"Cleburne County","Cleburne County, Alabama","G0100290","0100290","11","01029","01","029",12595,12558,9606,2919,33,37
"Coffee County","Coffee County, Alabama","G0100310","0100310","11","01031","01","031",38533,37981,29040,8489,452,552
"Colbert County","Colbert County, Alabama","G0100330","0100330","11","01033","01","033",54519,54300,43890,10326,84,219
"Conecuh County","Conecuh County, Alabama","G0100350","0100350","11","01035","01","035",15884,15840,14546,1247,47,44
"Coosa County","Coosa County, Alabama","G0100370","0100370","11","01037","01","037",11377,11341,10470,839,32,36
"Covington County","Covington County, Alabama","G0100390","0100390","11","01039","01","039",36850,36615,31565,4949,101,235
