Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T110_001,SE_T110_002,SE_T110_003,SE_T110_004,SE_T110_005
"Autauga County","Autauga County, Alabama","050","00","3","6","01001","01","001",34222,33881,341,216,125
"Baldwin County","Baldwin County, Alabama","050","00","3","6","01003","01","003",98280,97305,975,663,312
"Barbour County","Barbour County, Alabama","050","00","3","6","01005","01","005",25417,25335,82,71,11
"Bibb County","Bibb County, Alabama","050","00","3","6","01007","01","007",16576,16558,18,9,9
"Blount County","Blount County, Alabama","050","00","3","6","01009","01","009",39248,39001,247,108,139
"Bullock County","Bullock County, Alabama","050","00","3","6","01011","01","011",11042,11018,24,24,0
"Butler County","Butler County, Alabama","050","00","3","6","01013","01","013",21892,21842,50,39,11
"Calhoun County","Calhoun County, Alabama","050","00","3","6","01015","01","015",116034,114572,1462,865,597
"Chambers County","Chambers County, Alabama","050","00","3","6","01017","01","017",36876,36783,93,40,53
"Cherokee County","Cherokee County, Alabama","050","00","3","6","01019","01","019",19543,19496,47,30,17
"Chilton County","Chilton County, Alabama","050","00","3","6","01021","01","021",32458,32328,130,72,58
"Choctaw County","Choctaw County, Alabama","050","00","3","6","01023","01","023",16018,15984,34,18,16
"Clarke County","Clarke County, Alabama","050","00","3","6","01025","01","025",27240,27144,96,71,25
"Clay County","Clay County, Alabama","050","00","3","6","01027","01","027",13252,13208,44,19,25
"Cleburne County","Cleburne County, Alabama","050","00","3","6","01029","01","029",12730,12706,24,12,12
"Coffee County","Coffee County, Alabama","050","00","3","6","01031","01","031",40240,39490,750,450,300
"Colbert County","Colbert County, Alabama","050","00","3","6","01033","01","033",51666,51503,163,74,89
"Conecuh County","Conecuh County, Alabama","050","00","3","6","01035","01","035",14054,14038,16,10,6
"Coosa County","Coosa County, Alabama","050","00","3","6","01037","01","037",11063,11040,23,21,2
"Covington County","Covington County, Alabama","050","00","3","6","01039","01","039",36478,36279,199,91,108
"Crenshaw County","Crenshaw County, Alabama","050","00","3","6","01041","01","041",13635,13586,49,27,22
"Cullman County","Cullman County, Alabama","050","00","3","6","01043","01","043",67613,67409,204,126,78
"Dale County","Dale County, Alabama","050","00","3","6","01045","01","045",49633,48214,1419,851,568
"Dallas County","Dallas County, Alabama","050","00","3","6","01047","01","047",48130,47927,203,79,124
"DeKalb County","DeKalb County, Alabama","050","00","3","6","01049","01","049",54651,54451,200,121,79
"Elmore County","Elmore County, Alabama","050","00","3","6","01051","01","051",49210,48803,407,313,94
