Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10060_001,SE_A10060_002,SE_A10060_003
"01001","Autauga County, Alabama","ACSSF","al","050","00","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County",,,,21856,16227,5629
"01003","Baldwin County, Alabama","ACSSF","al","050","00","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County",,,,87190,67242,19948
"01005","Barbour County, Alabama","ACSSF","al","050","00","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County",,,,9088,5654,3434
"01007","Bibb County, Alabama","ACSSF","al","050","00","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County",,,,7083,5580,1503
"01009","Blount County, Alabama","ACSSF","al","050","00","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County",,,,21300,16865,4435
"01011","Bullock County, Alabama","ACSSF","al","050","00","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County",,,,3419,2220,1199
"01013","Butler County, Alabama","ACSSF","al","050","00","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County",,,,6531,4728,1803
"01015","Calhoun County, Alabama","ACSSF","al","050","00","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County",,,,44295,31441,12854
"01017","Chambers County, Alabama","ACSSF","al","050","00","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County",,,,13123,9089,4034
"01019","Cherokee County, Alabama","ACSSF","al","050","00","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County",,,,9692,7607,2085
"01021","Chilton County, Alabama","ACSSF","al","050","00","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County",,,,16562,12221,4341
"01023","Choctaw County, Alabama","ACSSF","al","050","00","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023","Choctaw County",,,,5211,4342,869
"01025","Clarke County, Alabama","ACSSF","al","050","00","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025","Clarke County",,,,8250,5983,2267
